Unnamed: 0,MODE,sv,sw,gc_dist,r_dist,temp_cntl,export,hazmat,wgt_factor,sctg,naics,orig_state,orig_state_full,states_code_o,orig_ma,dest_state,dest_state_full,states_code_d,dest_ma,sctg_n
0,4,956,14,36,48,0,1,0,128.6,37,4238,12,Florida,FL,370,12,Florida,FL,370,8
1,3,21,1,34,45,0,0,0,541.8,37,4238,12,Florida,FL,370,12,Florida,FL,370,8
2,2,3879,18,55,64,0,0,0,977.6,37,336,36,New York,NY,408,9,Connecticut,CT,408,8
3,3,910,6,1294,1462,0,0,0,249.4,37,332,9,Connecticut,CT,408,20,Kansas,KS,556,8
4,2,16494,743,9,12,0,1,0,1617.3,37,336,6,California,CA,348,6,California,CA,348,8
5,2,1859,4,13,16,0,0,0,9.3,37,332,6,California,CA,348,6,California,CA,348,8
6,4,85850,24,956,980,0,0,0,78.1,37,334,6,California,CA,348,53,Washington,WA,500,8
7,1,66538,5137,1558,1893,0,1,0,20.3,37,336,20,Kansas,KS,99999,23,Maine,ME,99999,8
8,3,3639,6,1496,1837,0,0,0,338.1,37,334,27,Minnesota,MN,378,12,Florida,FL,370,8
9,1,7537,21,2055,2376,0,0,0,84.6,37,336,37,North Carolina,NC,172,6,California,CA,348,8
10,2,231,91,10,10,0,0,0,316.6,37,4235,6,California,CA,488,6,California,CA,488,8
11,3,1878,14,2446,2856,0,0,0,432.1,37,335,6,California,CA,348,9,Connecticut,CT,408,8
12,1,671,26,1413,1624,0,0,0,86.8,37,336,40,Oklahoma,OK,99999,36,New York,NY,99999,8
13,3,267,1,1774,2109,0,0,0,303.4,37,4238,6,California,CA,348,55,Wisconsin,WI,376,8
14,3,310,70,6,6,0,0,0,8631.0,37,4238,42,Pennsylvania,PA,99999,42,Pennsylvania,PA,99999,8
15,3,31030,26,15,398,0,1,0,43.4,37,336,34,New Jersey,NJ,408,34,New Jersey,NJ,408,8
16,1,1682,346,343,408,0,0,0,419.6,37,335,6,California,CA,348,6,California,CA,99999,8
17,1,8899,172,397,563,0,0,0,68.3,37,336,51,Virginia,VA,47900,26,Michigan,MI,220,8
18,4,4744,24,2298,2389,0,0,0,1776.8,37,4238,6,California,CA,348,12,Florida,FL,370,8
19,3,13790,96,1159,1386,0,0,0,88.7,37,336,40,Oklahoma,OK,99999,24,Maryland,MD,12580,8
20,4,18917,164,1559,1610,0,0,0,779.2,37,336,6,California,CA,348,29,Missouri,MO,476,8
21,4,10653,19,2116,2279,0,0,0,17.5,37,332,6,California,CA,348,13,Georgia,GA,496,8
22,3,86190,32,2481,2837,0,0,0,378.6,37,332,6,California,CA,348,36,New York,NY,408,8
23,3,1581,1,1422,1633,0,0,0,3179.0,37,4238,34,New Jersey,NJ,408,48,Texas,TX,288,8
24,3,118,17,1279,1455,0,0,0,267.3,37,332,39,Ohio,OH,99999,8,Colorado,CO,99999,8
25,1,1131,13,1497,1924,0,0,0,84.5,37,332,20,Kansas,KS,312,53,Washington,WA,500,8
26,1,1562,2,709,830,0,0,0,129.6,37,4238,12,Florida,FL,99999,39,Ohio,OH,198,8
27,3,4079,16,1230,1437,0,0,0,42.1,37,334,6,California,CA,348,48,Texas,TX,206,8
28,1,11934,39780,129,158,0,0,0,36.7,37,331,5,Arkansas,AR,99999,29,Missouri,MO,99999,8
29,3,3896,100,800,1207,0,0,0,46.0,37,331,49,Utah,UT,482,38,North Dakota,ND,99999,8
30,3,653,19,1621,1867,0,0,0,837.9,37,336,48,Texas,TX,99999,50,Vermont,VT,99999,8
31,3,1484,1,70,77,0,0,0,49.8,37,336,25,Massachusetts,MA,99999,9,Connecticut,CT,408,8
32,1,37195,6445,1045,1275,0,0,0,155.4,37,335,31,Nebraska,NE,99999,45,South Carolina,SC,99999,8
33,3,51,1,328,353,0,0,0,139.5,37,332,20,Kansas,KS,556,48,Texas,TX,206,8
34,3,383,15,1122,1389,0,1,0,348.3,37,334,20,Kansas,KS,312,36,New York,NY,408,8
35,2,128,1,29,34,0,0,0,1130.5,37,336,53,Washington,WA,500,53,Washington,WA,500,8
36,3,1532,7,542,555,0,0,0,659.6,37,4238,12,Florida,FL,99999,13,Georgia,GA,122,8
37,3,25216,19,338,455,0,0,0,303.0,37,336,54,West Virginia,WV,99999,13,Georgia,GA,122,8
38,4,26400,5,33,41,0,1,0,155.8,37,336,36,New York,NY,408,36,New York,NY,408,8
39,1,886,140,2021,2369,0,0,0,316.7,37,336,39,Ohio,OH,99999,6,California,CA,41740,8
40,3,2320,32,643,880,0,0,0,412.1,37,336,20,Kansas,KS,556,38,North Dakota,ND,99999,8
41,4,28450,107,448,2162,0,1,0,73.7,37,332,4,Arizona,AZ,536,6,California,CA,348,8
42,1,4215,32,2543,3058,0,1,0,512.6,37,327,6,California,CA,348,33,New Hampshire,NH,99999,8
43,3,2857,6,30,445,0,1,0,104.5,37,336,24,Maryland,MD,47900,51,Virginia,VA,47900,8
44,1,7711,4088,16,18,0,0,0,81.6,37,336,17,Illinois,IL,176,17,Illinois,IL,176,8
45,3,21850,20,379,407,0,0,0,260.9,37,332,6,California,CA,348,4,Arizona,AZ,38060,8
46,4,134,1,1729,1764,0,0,0,752.9,37,4238,6,California,CA,348,17,Illinois,IL,176,8
47,3,99,1,11,13,0,0,0,99.7,37,4238,6,California,CA,348,6,California,CA,348,8
48,2,2413,15,11,15,0,0,0,96.7,37,332,25,Massachusetts,MA,99999,9,Connecticut,CT,25540,8
49,3,3430,5,10,1414,0,1,0,754.1,37,336,4,Arizona,AZ,38060,4,Arizona,AZ,38060,8
50,2,30,1,6,7,0,0,0,3820.1,37,332,20,Kansas,KS,556,20,Kansas,KS,556,8
51,2,1560,877,9,13,0,0,0,187.5,37,336,41,Oregon,OR,440,41,Oregon,OR,440,8
52,3,2772,8,870,892,0,0,0,1502.1,37,334,12,Florida,FL,422,39,Ohio,OH,184,8
53,3,8825,25,9,1413,0,1,0,66.0,37,333,4,Arizona,AZ,38060,4,Arizona,AZ,38060,8
54,1,82447,3760,1075,1237,0,0,0,52.6,37,336,42,Pennsylvania,PA,430,48,Texas,TX,206,8
55,3,198,3,1019,1422,0,0,0,80.1,37,336,53,Washington,WA,99999,4,Arizona,AZ,38060,8
56,1,141,10,341,381,0,0,0,387.7,37,332,48,Texas,TX,206,20,Kansas,KS,556,8
57,3,3113,2,34,42,0,0,0,363.9,37,332,9,Connecticut,CT,25540,9,Connecticut,CT,408,8
58,1,281,2,1457,1718,0,0,0,2010.1,37,336,24,Maryland,MD,99999,48,Texas,TX,99999,8
59,3,8044,23,28,38,0,1,0,39.2,37,4238,12,Florida,FL,370,12,Florida,FL,370,8
60,4,3270,4,650,682,0,0,0,87.6,37,334,6,California,CA,348,49,Utah,UT,99999,8
61,3,3706,9,114,143,0,0,0,41.2,37,336,29,Missouri,MO,476,29,Missouri,MO,99999,8
62,1,37113,19702,468,586,0,0,0,20.4,37,332,45,South Carolina,SC,16700,24,Maryland,MD,12580,8
63,3,212,7,19,1422,0,1,0,325.3,37,336,4,Arizona,AZ,38060,4,Arizona,AZ,38060,8
64,3,2178,18,2601,3097,0,0,0,255.4,37,332,33,New Hampshire,NH,148,6,California,CA,348,8
65,3,1326,6,1086,1484,0,0,0,44.1,37,336,12,Florida,FL,45300,20,Kansas,KS,556,8
66,3,838,2,37,50,0,1,0,41.9,37,336,12,Florida,FL,370,12,Florida,FL,370,8
67,3,112,22,155,187,0,0,0,793.2,37,335,47,Tennessee,TN,400,1,Alabama,AL,99999,8
68,3,15036,1,1284,1727,0,1,0,229.0,37,336,40,Oklahoma,OK,538,6,California,CA,348,8
69,3,6777,2,347,473,0,0,0,9.4,37,336,1,Alabama,AL,380,47,Tennessee,TN,368,8
70,3,4002,87,944,1099,0,0,0,230.3,37,331,39,Ohio,OH,184,12,Florida,FL,99999,8
71,3,729,6,1453,1658,0,0,0,1400.6,37,334,48,Texas,TX,206,9,Connecticut,CT,408,8
72,4,71,1,635,660,0,0,0,12351.5,37,4237,12,Florida,FL,370,45,South Carolina,SC,273,8
73,1,10984,5062,349,419,0,0,0,391.2,37,4235,20,Kansas,KS,312,17,Illinois,IL,99999,8
74,1,1470,17,1859,2150,0,0,0,486.5,37,327,6,California,CA,348,21,Kentucky,KY,178,8
75,3,2770,1,429,554,0,0,0,409.9,37,334,20,Kansas,KS,312,17,Illinois,IL,176,8
76,4,1506,38,207,579,0,1,0,85.2,37,4238,24,Maryland,MD,47900,36,New York,NY,408,8
77,4,408,1,791,883,0,0,0,1208.3,37,334,6,California,CA,348,41,Oregon,OR,440,8
78,3,974,3,695,2356,0,1,0,67.1,37,334,12,Florida,FL,99999,47,Tennessee,TN,368,8
79,2,717,92,3,3,0,0,0,4354.3,37,332,6,California,CA,348,6,California,CA,348,8
80,3,492,1,969,1180,0,0,0,488.0,37,332,12,Florida,FL,45300,26,Michigan,MI,99999,8
81,3,266,3,878,1061,0,0,0,23.9,37,336,48,Texas,TX,206,4,Arizona,AZ,38060,8
82,3,17,1,446,555,0,0,0,154.4,37,339,16,Idaho,ID,99999,6,California,CA,472,8
83,3,210,1,1203,1577,0,0,0,170.6,37,336,16,Idaho,ID,99999,20,Kansas,KS,556,8
84,3,3208,7,222,290,0,1,0,72.8,37,332,9,Connecticut,CT,25540,36,New York,NY,99999,8
85,1,30925,1020,1208,1496,0,0,0,60.0,37,336,6,California,CA,348,20,Kansas,KS,556,8
86,3,7522,84,1662,1986,0,0,0,53.3,37,332,1,Alabama,AL,99999,6,California,CA,99999,8
87,1,20002,42834,3,3,0,0,0,85.3,37,336,31,Nebraska,NE,99999,31,Nebraska,NE,99999,8
88,3,4433,5,657,752,0,0,0,16.9,37,332,9,Connecticut,CT,99999,39,Ohio,OH,178,8
89,3,1786,8,699,2296,0,1,0,159.6,37,334,27,Minnesota,MN,378,47,Tennessee,TN,368,8
90,3,7758,14,1815,2160,0,1,0,196.1,37,4238,9,Connecticut,CT,25540,48,Texas,TX,99999,8
91,4,7764,128,199,865,0,1,0,151.2,37,327,1,Alabama,AL,99999,47,Tennessee,TN,368,8
92,3,1040,5,889,1046,0,0,0,2709.6,37,4238,48,Texas,TX,206,39,Ohio,OH,99999,8
93,1,10553,1055,2173,2473,0,0,0,139.3,37,336,12,Florida,FL,99999,6,California,CA,41740,8
94,3,15747,76,875,1063,0,0,0,311.2,37,336,12,Florida,FL,370,39,Ohio,OH,178,8
95,4,77761,6704,1950,2529,0,1,0,43.9,37,336,39,Ohio,OH,212,53,Washington,WA,500,8
96,3,12204,46,589,674,0,0,0,59.1,37,332,45,South Carolina,SC,16700,28,Mississippi,MS,99999,8
97,3,3066,2,858,869,0,0,0,75.0,37,4238,47,Tennessee,TN,368,12,Florida,FL,370,8
98,1,1786,105,453,545,0,0,0,202.4,37,331,36,New York,NY,160,18,Indiana,IN,294,8
99,4,10066,6,1959,2017,0,0,0,65.8,37,325,4,Arizona,AZ,38060,12,Florida,FL,370,8
100,3,1588,3,583,756,0,0,0,96.7,37,336,39,Ohio,OH,184,13,Georgia,GA,122,8
101,1,1100,186,1808,2153,0,0,0,449.4,37,332,39,Ohio,OH,184,16,Idaho,ID,99999,8
102,3,4954,3,2495,2539,0,0,0,356.9,37,4238,6,California,CA,348,25,Massachusetts,MA,99999,8
103,2,998,13,23,26,0,0,0,1668.1,37,332,53,Washington,WA,500,53,Washington,WA,500,8
104,3,3459,1,1296,1471,0,0,0,538.4,37,336,6,California,CA,348,40,Oklahoma,OK,538,8
105,3,4595,16,1124,1135,0,0,0,105.2,37,336,12,Florida,FL,370,48,Texas,TX,206,8
106,3,80230,26,803,1172,0,0,0,15.4,37,334,27,Minnesota,MN,378,48,Texas,TX,99999,8
107,1,18560,10249,281,338,0,0,0,101.7,37,336,42,Pennsylvania,PA,99999,9,Connecticut,CT,408,8
108,3,780,5,65,80,0,0,0,206.2,37,331,6,California,CA,348,6,California,CA,348,8
109,3,574,1,11,1063,0,1,0,102.4,37,4238,6,California,CA,348,6,California,CA,348,8
110,4,20700,111,2494,2555,0,0,0,89.9,37,336,12,Florida,FL,45300,41,Oregon,OR,440,8
111,3,3126,11,1240,1400,0,0,0,25.8,37,326,10,Delaware,DE,428,40,Oklahoma,OK,416,8
112,3,6521,3,509,657,0,0,0,268.0,37,334,27,Minnesota,MN,378,26,Michigan,MI,220,8
113,3,3367,8,150,194,0,0,0,52.0,37,334,47,Tennessee,TN,99999,13,Georgia,GA,122,8
114,1,46586,4733,394,527,0,0,0,229.5,37,336,13,Georgia,GA,99999,37,North Carolina,NC,268,8
115,2,195,1,5,6,0,0,0,328.8,37,332,9,Connecticut,CT,25540,9,Connecticut,CT,25540,8
116,3,355,18,2181,2516,0,0,0,1639.6,37,4236,36,New York,NY,408,4,Arizona,AZ,38060,8
117,3,2321,11,1725,2101,0,0,0,55.2,37,336,8,Colorado,CO,216,12,Florida,FL,370,8
118,3,26195,12,137,192,0,0,0,922.3,37,4238,47,Tennessee,TN,99999,37,North Carolina,NC,172,8
119,3,5859,4,830,1372,0,1,0,1825.1,37,336,8,Colorado,CO,99999,6,California,CA,348,8
120,3,1240,5,3,655,0,1,0,1263.0,37,4238,13,Georgia,GA,122,13,Georgia,GA,122,8
121,3,3472,5,43,1109,0,1,0,355.5,37,4238,6,California,CA,348,6,California,CA,348,8
122,3,2844,4,1021,1039,0,0,0,94.6,37,334,48,Texas,TX,238,29,Missouri,MO,476,8
123,2,16798,73,48,52,0,0,0,33.8,37,336,25,Massachusetts,MA,148,33,New Hampshire,NH,148,8
124,3,7619,6,841,981,0,0,0,774.5,37,4238,6,California,CA,348,41,Oregon,OR,440,8
125,3,126,7,1839,2221,0,0,0,151.7,37,339,16,Idaho,ID,99999,13,Georgia,GA,122,8
126,3,7694,45,803,832,0,0,0,125.1,37,336,6,California,CA,348,8,Colorado,CO,99999,8
127,3,515,5,1617,2081,0,0,0,350.8,37,4238,6,California,CA,348,27,Minnesota,MN,99999,8
128,3,21,2,984,1038,0,0,0,6342.2,37,336,37,North Carolina,NC,268,48,Texas,TX,206,8
129,4,493,42,1143,1177,0,0,0,6088.3,37,4237,12,Florida,FL,370,9,Connecticut,CT,408,8
130,3,3133,10,617,800,0,0,0,11.1,37,333,6,California,CA,472,4,Arizona,AZ,38060,8
131,3,668,28,106,125,0,0,0,752.1,37,332,25,Massachusetts,MA,99999,25,Massachusetts,MA,148,8
132,3,306,1,296,376,0,0,0,322.0,37,4238,45,South Carolina,SC,16700,12,Florida,FL,99999,8
133,4,29954,16,2301,2315,0,0,0,184.7,37,336,4,Arizona,AZ,38060,25,Massachusetts,MA,148,8
134,4,9448,25,31,213,0,1,0,842.0,37,334,53,Washington,WA,500,53,Washington,WA,500,8
135,1,15887,21700,747,1044,0,1,0,268.6,37,332,39,Ohio,OH,99999,23,Maine,ME,99999,8
136,3,2223,141,1976,2220,0,0,0,21.9,37,336,53,Washington,WA,440,22,Louisiana,LA,99999,8
137,3,2552,7,1233,1614,0,0,0,91.2,37,334,4,Arizona,AZ,99999,19,Iowa,IA,99999,8
138,3,15080,36,973,1153,0,0,0,365.4,37,336,12,Florida,FL,99999,18,Indiana,IN,294,8
139,1,54531,36355,27,32,0,0,0,284.1,37,336,29,Missouri,MO,99999,5,Arkansas,AR,99999,8
140,3,24619,9,1502,1926,0,0,0,410.5,37,334,20,Kansas,KS,312,53,Washington,WA,500,8
141,1,3705,116,2203,2510,0,0,0,80.7,37,551114,42,Pennsylvania,PA,430,6,California,CA,472,8
142,3,4183,4,2336,2754,0,1,0,39.5,37,4238,12,Florida,FL,370,6,California,CA,348,8
143,4,52802,165,8,298,0,1,0,2340.0,37,4931,18,Indiana,IN,294,18,Indiana,IN,294,8
144,1,106044,9142,690,763,0,0,0,50.9,37,336,39,Ohio,OH,212,40,Oklahoma,OK,538,8
145,3,2158,16,10,13,0,0,0,27.1,37,332,6,California,CA,41740,6,California,CA,41740,8
146,1,39603,3769,962,1147,0,1,0,20.6,37,336,20,Kansas,KS,99999,36,New York,NY,160,8
147,3,13480,47,44,49,0,0,0,156.1,37,332,6,California,CA,348,6,California,CA,348,8
148,4,12443,10,1054,1514,0,1,0,23.0,37,4238,12,Florida,FL,370,34,New Jersey,NJ,408,8
149,4,2349,9,474,1168,0,1,0,393.9,37,332,48,Texas,TX,206,47,Tennessee,TN,368,8
150,1,20608,1873,14,19,0,0,0,893.6,37,336,40,Oklahoma,OK,538,40,Oklahoma,OK,538,8
151,1,8074,9,382,499,0,0,0,81.2,37,336,47,Tennessee,TN,368,22,Louisiana,LA,29340,8
